student_pk,person_uid,profile_academic_year,profile_academic_year_desc,profile_academic_period_desc,profile_college,profile_college_desc,profile_residence,profile_residence_desc,profile_high_school_percentile,profile_highest_sat_math,profile_highest_sat_writing,profile_highest_sat_crit_read,profile_highest_act_english,profile_highest_act_math,profile_highest_act_reading,profile_highest_act_sci_reason,profile_highest_act_composite,profile_highest_act_englwrit
384,1510050,2016,Academic Year 2015-2016,Fall 2015,HH,College of Health & Human Sci,R,Resident,,,,,20,19,22,22,20,21
6001,1500518,2016,Academic Year 2015-2016,Fall 2015,IE,School of Industrial Engr,N,Non-Resident,,,,,30,34,33,33,33,30
3374,1505386,2016,Academic Year 2015-2016,Fall 2015,US,Exploratory Studies,R,Resident,98,570,520,600,,,,,,
4070,1546159,2016,Academic Year 2015-2016,Fall 2015,LA,College of Liberal Arts,F,Foreign,,690,520,480,,,,,,
350,1475142,2016,Academic Year 2015-2016,Fall 2015,HH,College of Health & Human Sci,R,Resident,83,550,540,580,28,23,22,21,24,26
1419,1495891,2016,Academic Year 2015-2016,Fall 2015,M,School of Management,R,Resident,,660,730,710,34,31,35,34,34,33
4348,1477978,2016,Academic Year 2015-2016,Fall 2015,AE,School of Aero and Astro Engr,N,Non-Resident,,740,640,690,,,,,,
2810,1460926,2016,Academic Year 2015-2016,Fall 2015,PI,Polytechnic Institute,R,Resident,74,560,450,480,21,24,20,24,22,20
2977,1461228,2016,Academic Year 2015-2016,Fall 2015,S,College of Science,R,Resident,,710,660,700,35,33,30,27,31,31
4671,1512282,2016,Academic Year 2015-2016,Fall 2015,US,Exploratory Studies,R,Resident,35,490,410,410,19,18,16,20,18,
166,1469345,2016,Fall 2015,Fall 2015,M,School of Management,R,Resident,,660,600,650,,,,,,
953,1511724,2016,Academic Year 2015-2016,Fall 2015,IE,School of Industrial Engr,N,Non-Resident,,620,560,640,32,26,31,31,30,27
6644,1551208,2016,Academic Year 2015-2016,Fall 2015,LA,College of Liberal Arts,F,Foreign,,610,530,550,,,,,,
6298,1487170,2016,Academic Year 2015-2016,Fall 2015,US,Exploratory Studies,R,Resident,,580,500,580,24,26,29,26,26,23
178,1387442,2016,Academic Year 2015-2016,Fall 2015,US,Exploratory Studies,R,Resident,84,610,450,550,,,,,,
